Pathways,Count,PValue,Benjamini
Prostate cancer,34,1.55E-10,2.66E-09
Thermogenesis,58,1.35E-10,2.45E-09
Coronavirus disease - COVID-19,58,1.35E-10,2.45E-09
Colorectal cancer,32,1.05E-10,2.14E-09
Endometrial cancer,26,7.67E-11,1.67E-09
Epstein-Barr virus infection,54,4.43E-11,1.03E-09
Retrograde endocannabinoid signaling,45,2.42E-11,6.07E-10
Human T-cell leukemia virus 1 infection,60,1.87E-12,5.07E-11
Amyotrophic lateral sclerosis,83,1.47E-12,4.35E-11
Parkinson disease,68,8.59E-13,2.80E-11
Non-small cell lung cancer,24,3.52E-11,2.44E-11
Sphingolipid signaling pathway,42,5.54E-13,2.01E-11
Pathways of neurodegeneration - multiple diseases,101,4.30E-13,1.93E-11
Huntington disease,75,4.74E-13,1.93E-11
Chemical carcinogenesis - reactive oxygen species,63,5.34E-14,2.90E-12
Prion disease,72,3.02E-14,1.97E-12
Human papillomavirus infection,83,5.38E-15,4.38E-13
Diabetic cardiomyopathy,62,1.71E-15,1.86E-13
Alzheimer disease,95,7.07E-17,1.15E-14
Non-alcoholic fatty liver disease,58,3.35E-19,1.09E-16
