Term,Count,PValue,Genes,Fold Enrichment,Bonferroni,Benjamini,FDR
hsa05161:Hepatitis B,110,2.45E-45,"RB1, ATF2, ARAF, ELK1, TBK1, CREB3L4, MYC, CREB3L1, AKT2, AKT3, CREB3L2, AKT1, EP300, MAP3K7, MAP2K3, MAP2K4, MAP2K1, MAP2K2, PRKCA, TICAM1, RAF1, TP53, IFNAR1, ATF4, PIK3R3, PIK3R2, PIK3R1, IRAK1, FADD, MAP2K7, MAP2K6, STAT5B, CREBBP, TGFB2, JUN, SMAD4, TGFB1, SMAD3, TGFB3, NFATC3, NFATC2, BRAF, NFKB1, NFKBIA, MAVS, CDK2, BCL2, CYCS, GRB2, TAB2, TAB1, CDKN1A, YWHAB, PIK3CD, CASP9, IFIH1, IKBKB, CASP8, YWHAQ, CASP10, CASP3, IKBKG, JAK2, JAK3, IKBKE, HRAS, JAK1, ATP6AP1, APAF1, CHUK, FOS, TYK2, IRAK4, YWHAZ, TGFBR1, TGFBR2, DDB1, CCNA2, CREB3, CREB1, IRF3, PIK3CA, TRAF6, IRF7, SOS1, TLR4, SOS2, TLR3, CREB5, PCNA, RELA, MAPK9, MAPK8, E2F1, MAPK1, E2F3, MAPK3, MAP3K1, BAD, STAT1, STAT2, STAT3, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, BAX, FAS, KRAS",3.85454734,7.86E-43,7.86E-43,2.79E-43
hsa05171:Coronavirus disease - COVID-19,131,4.54E-41,"RPL4, RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPL10A, RPL8, RPL9, RPL6, RPL7, RPS15, RPS14, RPS16, TBK1, RPS19, RPL18A, RPL36, RPL35, RPL38, RPL37, RPS11, RPL39, MAP3K7, RPS13, RPS12, IFNAR2, RPS9, RPL21, RPS7, RPS8, RPS5, RPL23, RPL22, RPS6, CYBB, RPSA, PRKCA, RPL24, RPL27, RPL26, RPL29, RPL28, UBA52, IFNAR1, PIK3R3, PIK3R2, PIK3R1, RPS4Y1, C3, IRAK1, PLCG2, PLCG1, JUN, EIF2AK2, NFKB1, RPS26, NFKBIA, CXCL10, RPS25, RPS28, MAVS, RPS27, RPS29, RPL27A, TAB2, RPS20, RPS21, RPS24, RPS23, NFKBIB, RPLP1, RPLP0, PIK3CD, RPS4X, IFIH1, IKBKB, RPL7A, CASP1, RPLP2, IKBKG, IKBKE, JAK1, CHUK, SYK, RPL13A, RPS3A, FOS, TYK2, IRAK4, TNFRSF1A, IRF3, PIK3CA, TRAF6, TLR7, TLR4, IRF9, TLR3, RPL10, C1R, RPL12, RPL11, RPS27L, RELA, EGFR, MAPK9, MAPK8, RPS15A, RPS3, RPL14, MAPK1, RPS2, RPS27A, RPL18, RPL17, MAPK3, RPL19, STAT1, STAT2, STAT3, RPL35A, RPL23A, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, FCGR2A, RPL22L1, RPL26L1",3.205376318,1.46E-38,7.29E-39,2.59E-39
hsa05167:Kaposi sarcoma-associated herpesvirus infection,117,1.58E-40,"RB1, FGF2, ICAM1, TBK1, CCND1, MYC, AKT2, AKT3, AKT1, EP300, IFNAR2, MAP2K4, MAP2K1, MAP2K2, TICAM1, MAPKAPK2, RAF1, UBA52, TP53, IFNAR1, TCF7, PDGFB, ITPR1, PIK3R3, ITPR2, ITPR3, PIK3R2, PIK3R1, PIK3R5, C3, PPP3R1, UBB, UBC, PLCG2, FADD, PLCG1, MAP2K7, MAP2K6, LYN, CREBBP, JUN, NFATC3, NFATC2, EIF2AK2, GNG12, GNG11, NFKB1, NFKBIA, CDK6, CDK4, GNB2, GNB1, GNB4, CYCS, CALM3, GNB5, CALM1, CALM2, CDKN1A, PIK3CD, CXCL2, PIK3CG, CASP9, IKBKB, PPP3CA, PPP3CB, CASP8, PPP3CC, CASP3, IKBKG, RAC1, JAK2, CCR5, IKBKE, HRAS, CCR4, JAK1, CHUK, SYK, IFNGR1, TRAF2, FOS, TYK2, TNFRSF1A, HCK, CREB1, IRF3, PIK3CA, IRF7, PIK3C3, IRF9, TLR3, RELA, MAPK9, MAPK8, GNG2, GNG5, E2F1, MAPK1, E2F3, BAK1, RPS27A, MAPK3, TCF7L2, TCF7L1, STAT1, STAT2, STAT3, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, BAX, FAS, CTNNB1, KRAS",3.423574989,5.07E-38,1.69E-38,6.00E-39
hsa03010:Ribosome,103,5.47E-40,"RPL4, RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPL10A, RPL8, RPL9, RPL6, RPL7, RPS15, RPS14, RPS16, RPS19, RPL18A, RPL36, RPL35, RPL38, RPL37, RPS11, RPL39, RPS13, RPS12, RPS9, RPL21, RPS7, RPS8, RPS5, RPL23, RPL22, RPS6, MRPS18A, RPSA, MRPS18C, RPL24, RPL27, RPL26, RPL29, RPL28, UBA52, MRPL19, MRPL17, MRPL14, MRPL12, RPS4Y1, MRPL13, MRPL10, MRPL11, MRPL27, MRPL28, MRPL23, MRPL21, MRPL22, MRPL30, RPS26, RPS25, RPS28, RPS27, RPS29, RPL27A, RPS20, RPS21, RPS24, RPS23, MRPS17, MRPS15, MRPS14, RPLP1, MRPS11, RPLP0, MRPS12, MRPS10, MRPL33, RPS4X, MRPL3, RPL7A, MRPL2, RPLP2, MRPL9, MRPS2, RPL13A, RPS3A, MRPS7, MRPS6, MRPS9, RPL10, RPL12, RPL11, RPS27L, RPS15A, RPS3, RPL14, RPS2, RPS27A, RPL18, RPL17, RPL19, RPL35A, RPL23A, RPL22L1, RPL26L1",3.700631583,1.76E-37,3.62E-38,1.29E-38
hsa04380:Osteoclast differentiation,91,5.64E-40,"SPI1, NCF1, NCF2, ITGB3, NCF4, FHL2, PIK3CD, TREM2, IKBKB, PPP3CA, PPP3CB, FCGR3A, PPP3CC, AKT2, CTSK, AKT3, BLNK, AKT1, IKBKG, RAC1, MAP3K7, JAK1, IFNAR2, MAP2K1, SYK, CHUK, IFNGR1, IFNGR2, TRAF2, MITF, CYBA, TYK2, FOS, GAB2, TGFBR1, TGFBR2, TNFRSF1A, TYROBP, CREB1, PIK3CA, LCK, TRAF6, BTK, SQSTM1, IRF9, IFNAR1, PIK3R3, PIK3R2, PIK3R1, TNFRSF11A, RELA, RELB, MAPK9, PPP3R1, MAPK8, SOCS1, PLCG2, MAPK1, FYN, FCGR1A, MAP2K7, MAPK3, MAP2K6, TGFB2, JUN, TGFB1, JUND, STAT1, STAT2, NFATC2, LILRB1, LILRB3, MAPK14, LILRB4, MAPK12, NFKB1, FOSL2, NFKB2, MAPK13, NFKBIA, MAPK10, CYLD, MAPK11, FCGR2A, TEC, CAMK4, GRB2, TAB2, TAB1, FCGR2C, MAP3K14",4.035776767,1.81E-37,3.62E-38,1.29E-38
hsa05166:Human T-cell leukemia virus 1 infection,125,5.45E-39,"RB1, ATF2, SPI1, BUB1B, ETS1, ELK1, ICAM1, CDC20, CCND3, CDC23, KAT5, CCND1, CREB3L4, MYC, CREB3L1, CDC26, CHEK2, AKT2, AKT3, CHEK1, CDC27, CREB3L2, AKT1, EP300, PRKACA, PRKACB, MAP2K4, MAP2K1, MAP2K2, ANAPC7, ADCY9, ANAPC4, ANAPC5, TLN1, TP53, ANAPC1, ANAPC2, ATF4, ANAPC16, PIK3R3, PIK3R2, PIK3R1, ANAPC10, ANAPC11, CCNB2, PPP3R1, SMAD2, STAT5B, FDPS, CREBBP, TGFB2, JUN, SMAD4, TGFB1, SMAD3, TGFB3, NFATC3, NFATC2, NFKB1, NFKB2, NFKBIA, CDK4, CDC16, CDK2, ATM, CALR, MAP3K14, HLA-DRB1, ATR, BCL2L1, CDKN1A, CD40, ITGB2, PTEN, PIK3CD, CD3D, IKBKB, PPP3CA, PPP3CB, XPO1, PPP3CC, IKBKG, JAK3, HRAS, JAK1, TBP, CHUK, FOS, TGFBR1, TGFBR2, TNFRSF1A, CCNA2, CREB3, KAT2A, CREB1, PIK3CA, LCK, CANX, CREB5, ADCY4, GPS2, XIAP, ADCY3, ADCY7, RELA, ADCY6, RELB, MAPK9, MAPK8, E2F1, MAPK1, E2F3, BUB3, MAPK3, CDKN2B, MAP3K1, CDKN2A, NFYB, MAPK10, CD4, HLA-DPB1, BAX, KRAS, RAN, MAD2L1",3.196338396,1.75E-36,2.62E-37,9.29E-38
hsa05163:Human cytomegalovirus infection,126,5.70E-39,"RB1, ATF2, ELK1, CRKL, TBK1, CCND1, CREB3L4, MYC, CREB3L1, AKT2, AKT3, CREB3L2, AKT1, PRKACA, PRKACB, MAP2K1, MAP2K2, TSC1, PRKCA, ADCY9, RAF1, TP53, ATF4, ITPR1, PIK3R3, ITPR2, ITPR3, PIK3R2, PIK3R1, PPP3R1, RIPK1, FADD, MAP2K6, NFATC3, NFATC2, GNG12, GNG11, NFKB1, NFKBIA, CXCL12, CDK6, SP1, CDK4, GNAQ, GNB2, GNB1, MDM2, GNB4, GNAS, CYCS, CALM3, GRB2, CALR, GNB5, CALM1, CALM2, CDKN1A, ITGB3, PIK3CD, CX3CL1, CASP9, IKBKB, PPP3CA, PPP3CB, CASP8, PPP3CC, CASP3, RAC2, ITGAV, IKBKG, RAC1, CCR5, HRAS, JAK1, CHUK, TRAF2, RHOA, TNFRSF1A, CREB3, PLCB3, CREB1, PLCB4, IRF3, PIK3CA, SOS1, CRK, PLCB2, SOS2, CREB5, ROCK2, ADCY4, GNAI3, ADCY3, CXCR4, ADCY7, RELA, ADCY6, EGFR, GNAI1, GNAI2, GNA13, GNG2, GNG5, GNA11, CCL5, E2F1, CCL3, MAPK1, E2F3, BAK1, MAPK3, IL10RB, CDKN2A, IL10RA, STAT3, MAPK14, MAPK12, MAPK13, MAPK11, RPS6KB1, RPS6KB2, BAX, FAS, CTNNB1, KRAS, BCAR1",3.178950315,1.83E-36,2.62E-37,9.29E-38
hsa05169:Epstein-Barr virus infection,117,4.17E-38,"RB1, ICAM1, PSMD8, CCND3, PSMD6, PSMD7, TBK1, PSMD4, CCND1, MYC, PSMD2, AKT2, AKT3, PSMD3, PSMD1, AKT1, MAP3K7, IFNAR2, MAP2K3, MAP2K4, USP7, BTK, TP53, IFNAR1, PSMD12, PSMD11, PSMD14, PSMD13, PIK3R3, PIK3R2, PIK3R1, BCL2L11, IRAK1, PLCG2, RIPK1, FADD, MAP2K7, MAP2K6, LYN, JUN, EIF2AK2, NFKB1, NFKB2, NFKBIA, CXCL10, MAVS, SNW1, CDK6, CDK4, CDK2, BCL2, MDM2, CYCS, TAB2, CALR, TAB1, NFKBIE, MAP3K14, HLA-DRB1, NFKBIB, CDKN1A, CD40, CDKN1B, PIK3CD, TNFAIP3, CD3D, CASP9, IKBKB, CASP8, SIN3A, CASP3, BLNK, IKBKG, POLK, RAC1, JAK3, IKBKE, JAK1, APAF1, CHUK, SYK, TRAF2, TYK2, IRAK4, CCNA2, IRF3, PIK3CA, TRAF6, IRF7, IRF9, CD44, HDAC2, RELA, RELB, MAPK9, MAPK8, E2F1, E2F3, BAK1, STAT1, STAT2, STAT3, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, PSMC5, PSMC6, PSMC3, PSMC4, PSMC1, NEDD4, PSMC2, HLA-DPB1, BAX, FAS",3.287987861,1.34E-35,1.67E-36,5.94E-37
hsa05200:Pathways in cancer,215,1.05E-37,"RB1, SPI1, ARAF, ELK1, CRKL, EDNRA, RASSF1, TFG, MYC, AKT2, AKT3, AKT1, PRKACA, PRKACB, SKP1, DAPK1, DAPK2, PRKCA, ADCY9, TP53, CTBP1, PDGFB, PDGFA, PIK3R3, TGFA, PIK3R2, PIK3R1, PLCG2, HMOX1, FADD, PLCG1, RALGDS, STAT5B, JUN, CREBBP, FN1, BRAF, IGF1, GNG12, GNG11, CALM3, GRB2, CALM1, CALM2, CDKN1A, CDKN1B, IKBKB, RAC2, RAC1, IKBKG, JAK2, JAK3, HRAS, JAK1, NCOA1, IFNGR1, IFNGR2, FOS, RHOA, PLCB3, PLCB4, PLCB2, PPARD, GNAI3, ADCY4, ADCY3, CXCR4, XIAP, ADCY7, ADCY6, GNAI1, RELA, EGFR, GNAI2, RXRA, CTNNA1, ARNT2, CDKN2B, EGLN3, CDKN2A, STAT1, STAT2, STAT3, KITLG, FAS, CTNNB1, ETS1, FGF2, CCND3, CCND1, CDH1, EP300, PDGFRB, IFNAR2, RALBP1, MAP2K1, MAP2K2, HGF, MITF, RBX1, COL4A2, COL4A1, COL4A4, COL4A3, COL4A5, RAF1, IFNAR1, NOTCH2, NOTCH3, MAX, TCF7, CUL1, GSTT1, STK4, RASGRP1, FOXO1, HSP90B1, RASGRP3, PLD2, BCL2L11, TPR, ABL1, SMAD2, TGFB2, SMAD4, TGFB1, SMAD3, TGFB3, NFKB1, NFKB2, NFKBIA, CXCL12, CDK6, SP1, IL7, CDK4, GNAQ, GNB2, GNB1, CDK2, BCL2, MDM2, GNAS, GNB4, CYCS, GNB5, IL7R, BCL2L1, FGFR1, ITGB1, PTEN, PIK3CD, LAMC2, CKS1B, CASP9, CASP7, CASP8, CASP3, ITGAV, POLK, HSP90AA1, CHUK, APAF1, ITGA3, ITGA2, MMP2, TRAF2, TRAF1, TGFBR1, TGFBR2, CCNA2, PIK3CA, TRAF6, ITGA6, SOS1, MET, CRK, SOS2, BIRC2, BIRC3, LAMA5, RALA, CAMK2D, HDAC2, LAMA2, ROCK2, LAMA4, LAMA3, CBL, LRP6, GNA13, CDC42, MAPK9, MAPK8, GNG2, GNG5, GNA11, ERBB2, E2F1, MAPK1, E2F3, BAK1, CAMK2G, MAPK3, TCF7L2, TCF7L1, LAMB3, BAD, LAMB2, PML, MAPK10, RPS6KB1, RPS6KB2, BAX, KRAS",2.2984743,3.37E-35,3.74E-36,1.33E-36
hsa04510:Focal adhesion,115,9.58E-37,"ELK1, ACTB, ACTG1, CRKL, PPP1CB, PPP1CC, CCND3, CCND1, AKT2, AKT3, CAPN2, AKT1, PDGFRB, MAP2K1, HGF, ACTN1, PRKCA, ACTN4, COL4A2, COL4A1, COL4A4, COL4A3, COL4A5, RAF1, TLN1, MYL9, SHC2, SHC3, SHC1, PDGFB, PDGFA, PIK3R3, PIK3R2, PIK3R1, MYL12A, MYL12B, RAP1B, RAP1A, PDGFC, PIP5K1A, PIP5K1B, PIP5K1C, VASP, JUN, CAV1, FN1, BRAF, IGF1, COL1A1, COL1A2, BCL2, GRB2, COL9A2, ITGB1, ITGB5, ITGB4, ITGB3, PTEN, ILK, PIK3CD, LAMC2, RAC2, ITGAV, ITGB7, ITGB6, RAC1, HRAS, VAV3, PDPK1, ITGA3, ITGA2, ITGA1, RHOA, VAV1, VAV2, PIK3CA, COL6A2, COL6A1, RAPGEF1, ITGA7, COL6A6, ITGA6, ITGA5, PPP1R12B, SOS1, CRK, MET, SOS2, BIRC2, BIRC3, ITGA9, LAMA5, LAMA2, ROCK2, LAMA4, LAMA3, XIAP, EGFR, CDC42, MAPK9, MAPK8, ERBB2, FLNA, MAPK1, FYN, PAK2, PAK4, MAPK3, LAMB3, BAD, LAMB2, PPP1CA, MAPK10, CTNNB1, BCAR1",3.247861462,3.07E-34,3.07E-35,1.09E-35
