feature,feature_importance_vals
MAPK1,0.000847172
HIST3H2BB,0.000725103
HIST1H3I,0.000722621
HIST1H2BK,0.000688704
MAPK8,0.00059613
CALM2,0.000593392
MAPK3,0.000567628
RPS28,0.000562151
NUP160,0.000555846
PIK3R2,0.000554136
AKT1,0.00052734
HIST1H2BC,0.000525703
POLR2D,0.000475815
HIST1H4A,0.00046864
ADCY4,0.000462666
HIST1H2BG,0.000455109
TAF3,0.000443568
IRS2,0.000441617
RPS3,0.000432446
RPA3,0.000431831
H3F3B,0.000431637
HIST1H2AC,0.000418365
HIST1H4B,0.000413395
HIST1H2BN,0.000407468
PIK3R5,0.000402525
HADH,0.000399739
NUP98,0.000397625
TAF10,0.00039681
CREB1,0.000390948
PIK3R1,0.000383725
PSMA3,0.000381361
PSMD13,0.000378629
H3F3A,0.000377973
PSMC3,0.000376727
HIST1H2AB,0.000376095
RPA2,0.000375233
HIST1H2AJ,0.000374117
PPP1CC,0.000372784
PIK3CG,0.000370042
CREB3L2,0.000360948
POLD4,0.000358128
EIF2AK3,0.000357803
ANAPC4,0.000356386
ITPR2,0.000355384
PSMD14,0.000353196
PSMB2,0.00035083
PLCB3,0.000346905
H2AFJ,0.000346073
SMC3,0.00034509
RAD52,0.000334033
COL3A1,0.000331065
HIST1H2BB,0.000328251
PSME4,0.000327944
CDC20,0.000325277
SSRP1,0.000324625
PDPK1,0.000323466
UBA52,0.000323258
DNM1,0.000321654
MTMR6,0.000318491
PPP1CA,0.000316284
RPS16,0.000314425
MYL9,0.000312241
UBB,0.000309545
NUP155,0.000309199
HIST1H2BF,0.000307235
UBC,0.000304953
H2AFZ,0.000301083
ADCY6,0.00029842
HSP90AA1,0.000297767
RELA,0.000297761
MAVS,0.000297367
HDAC2,0.000296853
RPSA,0.000295198
TRAF6,0.000292405
BLZF1,0.000289153
HIST1H4H,0.000289139
PPP2CA,0.000286521
RPS20,0.000286289
CDK2,0.000285301
MDM2,0.000284834
GORASP2,0.000283765
RAF1,0.000283256
CDC42,0.00028175
MAP2K1,0.000280973
RPS14,0.000278381
ACAA1,0.000277508
GUCY1A3,0.000277309
ACAT1,0.000276592
MYH10,0.000276334
PI4K2A,0.000276049
HIST1H3C,0.00027514
PSME1,0.000272776
PSMA4,0.000272241
TAB1,0.000271619
TBL1X,0.000271272
CDK1,0.000270198
RXRA,0.000270138
POLD3,0.000270055
GAB1,0.000268237
NUP37,0.000267902
ALDH1B1,0.000267869
RFC1,0.000267482
CRKL,0.000267404
CREBBP,0.000267124
HIST1H4E,0.000266789
PLCG2,0.000266516
EIF2AK4,0.000263698
PPP3CC,0.000262752
RBBP5,0.000260373
SLIT3,0.000258221
PIKFYVE,0.000257659
ACTB,0.000256545
RPS2,0.00025521
RPS9,0.000254716
ACTG1,0.000253595
PI4KB,0.00025294
PSMD6,0.000252694
SOS1,0.000251207
ITPR3,0.000251144
ANAPC2,0.000247271
PSMD3,0.000246845
NUP88,0.00024516
RANBP2,0.000244638
CREB3L4,0.000242383
XIAP,0.000242287
POLA1,0.000241184
RFC2,0.000240803
TAF13,0.000239127
BAD,0.00023819
NUP133,0.00023746
HIST2H2AC,0.000237065
HIST1H3G,0.000236018
PSMB1,0.00023599
HIST1H3A,0.000233801
RPL17,0.000231574
ARPC5,0.000230914
RPS21,0.000230665
NFKBIA,0.000230528
SSBP1,0.000230015
TLE2,0.000228804
RPS6,0.000225711
POLR2I,0.00022554
RPS19,0.000224658
CREB3,0.000223789
GTF2H1,0.000222739
