,Importance
CREB3L2,0.0849117
NDUFA12,0.07965783
COL5A3,0.07188027
COL16A1,0.07054384
NDUFS8,0.06841264
ADCY4,0.065187134
GCLC,0.06406669
PIK3R3,0.059863336
HLA-DRB1,0.05812809
WASF2,0.057979263
PAPOLA,0.057786975
UQCRFS1,0.05633748
SMAD2,0.055576544
CREB3L4,0.05479619
NDUFA5,0.05373207
COL6A1,0.053572893
HDAC11,0.053419214
SF3B3,0.0534169
TGIF2,0.05198964
U2SURP,0.051653944
KRAS,0.051325306
HAUS7,0.051226873
NDUFAB1,0.05024683
NDUFA11,0.04974665
MCF2L,0.04961568
TXNL4A,0.04951892
ITGB8,0.049223203
PLA2G4A,0.049156003
SNRPD3,0.04911244
TAB3,0.04797812
SNRPA,0.04787616
PSMB7,0.047620982
SFN,0.047555085
FOXO1,0.047226686
COL15A1,0.047206756
NDUFA2,0.04678298
ACSL3,0.04651198
PPIH,0.046198156
UQCR11,0.046056304
HDAC6,0.04564461
USP39,0.044900034
SOS1,0.04487235
FERMT2,0.04454901
NDUFAF4,0.044230383
RPS16,0.044017386
CAPN5,0.04350146
COL14A1,0.043200865
AP2S1,0.04230323
RPS27A,0.04199456
BACE1,0.041896056
UBA52,0.04149502
FH,0.041433733
LEF1,0.041389063
TMEM126B,0.041380078
ADAM15,0.041079763
NDUFB8,0.04086894
CTSD,0.040732052
AMT,0.040256
FCGR1A,0.039796446
COL10A1,0.03952062
TUBB3,0.039383605
QPRT,0.039092083
U2AF1,0.039081253
COL18A1,0.038879678
SF1,0.03848722
LYN,0.038425084
GGA1,0.03839637
SF3B5,0.03816803
HTRA1,0.0378746
PPIL1,0.037861504
A2M,0.037574206
PRPF6,0.037542064
NDUFA7,0.037497
NDUFAF1,0.037447955
HSPD1,0.03734188
RASAL2,0.037325528
NEDD4L,0.037138827
SARS,0.037115637
MAP3K14,0.03694561
ATP6V1F,0.036788534
HEYL,0.03678772
TBL1XR1,0.036638957
SARNP,0.03656278
NDUFC1,0.03646318
NMNAT3,0.03642588
HERPUD1,0.036398213
TRAF2,0.036396995
SRC,0.036358096
PDE4B,0.036303572
MMP1,0.036298264
MIB1,0.036263745
IFNAR2,0.036188085
PPP2R5A,0.036139086
CAPN10,0.036045052
