,col_name,feature_importance_vals
5409,MAPK1,0.0008471717485987868
4194,HIST3H2BB,0.0007251025067559497
4181,HIST1H3I,0.000722621003274071
4169,HIST1H2BK,0.0006887036457555951
5420,MAPK8,0.0005961299077547175
1354,CALM2,0.0005933916734123228
5417,MAPK3,0.000567628232014473
8172,RPS28,0.0005621512558543775
6445,NUP160,0.0005558457355129157
6955,PIK3R2,0.0005541364532081598
303,AKT1,0.0005273403633369666
4161,HIST1H2BC,0.0005257025699637989
7169,POLR2D,0.0004758149339592749
4183,HIST1H4A,0.0004686401192377441
191,ADCY4,0.00046266579146364307
4165,HIST1H2BG,0.0004551094580777387
9459,TAF3,0.0004435677558979898
4587,IRS2,0.00044161747503242035
8174,RPS3,0.0004324463958968094
8076,RPA3,0.0004318312647722695
4021,H3F3B,0.0004316366552774735
4151,HIST1H2AC,0.00041836498770826745
4184,HIST1H4B,0.0004133953170804279
4172,HIST1H2BN,0.00040746806413380907
6958,PIK3R5,0.0004025247808945446
4026,HADH,0.0003997388316055305
6460,NUP98,0.00039762462335007654
9449,TAF10,0.00039681029266664433
2145,CREB1,0.000390948009603912
6954,PIK3R1,0.00038372493973978496
7448,PSMA3,0.00038136141885423475
7471,PSMD13,0.0003786289283880251
4020,H3F3A,0.0003779727982241901
7463,PSMC3,0.00037672690773433716
4150,HIST1H2AB,0.0003760953459207555
8075,RPA2,0.00037523254221259077
4156,HIST1H2AJ,0.0003741169765274977
7257,PPP1CC,0.0003727843470082567
6952,PIK3CG,0.00037004174874150173
2148,CREB3L2,0.0003609481186755987
7146,POLD4,0.0003581281383279571
2869,EIF2AK3,0.00035780269330154205
384,ANAPC4,0.0003563857750437959
4646,ITPR2,0.00035538365627669593
7472,PSMD14,0.0003531958939465067
7455,PSMB2,0.00035082971910644397
7021,PLCB3,0.0003469045357912994
4014,H2AFJ,0.0003460732328846916
8915,SMC3,0.0003450897167876285
7701,RAD52,0.0003340334309978761
2033,COL3A1,0.000331065284079229
4160,HIST1H2BB,0.00032825051803928756
7484,PSME4,0.0003279442668547115
1650,CDC20,0.0003252773032272671
9227,SSRP1,0.0003246246901977219
6776,PDPK1,0.0003234656425447086
10349,UBA52,0.000323258347895297
2636,DNM1,0.0003216538448537694
5912,MTMR6,0.0003184907418878643
7255,PPP1CA,0.0003162838746598711
8159,RPS16,0.00031442489420477126
5969,MYL9,0.00031224123365649784
10358,UBB,0.0003095452495962001
6444,NUP155,0.0003091993227266917
4164,HIST1H2BF,0.000307235382309465
10359,UBC,0.0003049526428115384
4019,H2AFZ,0.000301082854264223
192,ADCY6,0.000298420498739478
4312,HSP90AA1,0.0002977672420456656
7868,RELA,0.00029776144625919606
5454,MAVS,0.00029736650954226626
4061,HDAC2,0.0002968528666498284
8191,RPSA,0.00029519788704419626
10080,TRAF6,0.0002924049298743424
984,BLZF1,0.0002891531510613277
4189,HIST1H4H,0.0002891394399984375
7280,PPP2CA,0.0002865213840572905
8163,RPS20,0.00028628879022247924
1699,CDK2,0.00028530095131337963
5510,MDM2,0.0002848335665720907
