,col_name,feature_importance_vals
10112,UBC,0.0001320449046261274
7975,RPS27A,0.00013152086148010127
5278,MAPK3,0.00011556992447787287
10102,UBA52,0.00010961462116020252
6995,POLR2K,9.06510718550635e-05
4824,KRAS,8.527790268387364e-05
8856,SOS1,8.514530328208335e-05
2711,E2F3,8.359055416611647e-05
8404,SHFM1,8.157596653990577e-05
9789,TP53,7.832141145425016e-05
10403,WAS,7.650551503455625e-05
4358,IKBKG,7.640656463245513e-05
9229,TAF4,7.604618702692698e-05
7264,PSMA7,7.519992778078141e-05
2780,EGFR,7.35566303930295e-05
4384,IL2RB,7.157085379364804e-05
7283,PSMD13,6.936245935181572e-05
5251,MAP3K14,6.725234578904239e-05
7292,PSMD9,6.683326829532304e-05
3942,H3F3A,6.66551161753677e-05
6776,PIK3CA,6.463295345152066e-05
774,ATP6V1C1,6.461014462690701e-05
778,ATP6V1G1,6.319156702786062e-05
3507,FZD3,6.278316857284074e-05
9310,TBP,6.276179957030064e-05
6996,POLR2L,6.252583257111592e-05
6198,NRAS,6.209338145945017e-05
777,ATP6V1F,6.0900564656225677e-05
5273,MAPK12,6.039131426536397e-05
1395,CBLC,6.0019550297924365e-05
2710,E2F1,5.9230033723386334e-05
3731,GNB4,5.8049098742265835e-05
481,APC2,5.735131422032789e-05
6968,POLE,5.726742340816425e-05
7287,PSMD4,5.689244102313751e-05
775,ATP6V1D,5.685724715581623e-05
9415,TGFBR1,5.666600457936091e-05
7288,PSMD5,5.62320813276511e-05
1994,COL4A4,5.600006902481115e-05
1394,CBLB,5.580995742622445e-05
8652,SLC7A7,5.5656194236009835e-05
6969,POLE2,5.563814781875697e-05
7515,RAF1,5.519441287097274e-05
7263,PSMA6,5.5076064822619975e-05
372,ANAPC4,5.4979219096651374e-05
983,BRAF,5.437789858214833e-05
536,ARFGEF2,5.39896184508192e-05
6997,POLR3A,5.332226625070619e-05
10310,VAC14,5.2738138901521946e-05
637,ARPC4,5.214517761897169e-05
7932,RPL37A,5.209176305090051e-05
7675,RELA,5.200418119949509e-05
7259,PSMA2,5.1514408512022016e-05
7279,PSMD1,5.138051103902906e-05
6050,NFKB1,5.128292254185523e-05
7269,PSMB4,5.0914028264077596e-05
6052,NFKBIA,5.073399921345666e-05
9833,TRAF2,5.0679790304177285e-05
7591,RB1,5.061223644825274e-05
1510,CCND1,5.02846953399792e-05
368,ANAPC11,4.986110650110257e-05
7919,RPL27A,4.981161780211078e-05
10409,WASL,4.949627641798097e-05
366,ANAPC1,4.92056567709872e-05
7262,PSMA5,4.8927401911231964e-05
5796,MYC,4.876038495485073e-05
10111,UBB,4.863824241021156e-05
7923,RPL30,4.84213504860848e-05
8457,SKP1,4.820599295254187e-05
7498,RAC1,4.800953529586247e-05
2912,EP300,4.7977258329340725e-05
5998,NDUFV2,4.756964724263158e-05
7036,PPARD,4.7563487753275416e-05
766,ATP6V0A2,4.7271192001447234e-05
7693,RFC1,4.714689864984988e-05
1919,CLTC,4.7018472239065326e-05
8732,SMURF1,4.700063121030841e-05
773,ATP6V1B2,4.681317652958009e-05
4368,IL15,4.601657455491903e-05
6781,PIK3R1,4.592301193392464e-05
8228,SEC61A1,4.588292141525913e-05
